scenario,S_B,n_boot,n_reps,delta_true,dev_frac,design,weighting,mu_B,delta_cal,delta_realized,sB_realized,p_meaningful,p_negligible,p_inconclusive,p_harm,p_meaningful_alt,p_negligible_alt,p_inconclusive_alt,p_harm_alt,mean_d_hat,sd_d_hat,mean_ci_width,cover95_nominal,cover95,mean_sensB,mean_sensE,mean_faB_eval,mean_faE_eval,p_faE_gt_1.5,p_degenerate_ci,mean_n_disc,n_events_eval,n_systems_eval,n_negyears_eval,n_systems_total,n_events_total
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.0,0.6,cv5,system,0.6889801025390625,0.095672607421875,0.004666666666666652,0.44133333333333336,0.0025,0.8275,0.1575,0.0125,0.0575,0.8275,0.1025,0.0125,0.004855072463768115,0.03244420309992656,0.11624456521739127,0.93,0.9175,0.44800724637681155,0.4528623188405797,0.9951996572667493,0.9943760537102682,0.0,0.0,17.625,138.0,624.0,9372.85,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.05,0.5,holdout,system,0.6889801025390625,0.525421142578125,0.055999999999999994,0.44133333333333336,0.195,0.155,0.6475,0.0025,0.265,0.155,0.5775,0.0025,0.057065217391304345,0.04651099723666881,0.16665217391304346,0.915,0.915,0.45518115942028986,0.5122463768115942,0.9955920282147698,0.9932416574505283,0.0,0.0,9.6975,69.0,312.0,4655.085,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.05,0.5,holdout,dataset,0.7539825439453125,0.721343994140625,0.09429813226883121,0.4079562627398352,0.205,0.26,0.535,0.0,0.4,0.26,0.34,0.0,0.06832323232323231,0.07646228289415341,0.20387929292929294,0.8325,0.735,0.4519040404040405,0.5202272727272728,0.9960956191493259,0.9933537430016892,0.0,0.0,10.25,69.0,312.0,4655.085,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.0,0.6,cv5,dataset,0.7539825439453125,0.281341552734375,0.02861277311415078,0.4079562627398352,0.095,0.605,0.2875,0.0125,0.145,0.605,0.2375,0.0125,0.024674788424788426,0.05967142985002461,0.17463062551187544,0.8125,0.865,0.4375335790335791,0.46220836745836746,0.995267033731792,0.994074628308611,0.0,0.0,18.2275,138.0,624.0,9372.85,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.05,0.6,cv5,system,0.6889801025390625,0.525421142578125,0.055999999999999994,0.44133333333333336,0.1125,0.295,0.5925,0.0,0.45,0.295,0.255,0.0,0.058134057971014494,0.034267702213023,0.1194823369565217,0.8975,0.9125,0.44800724637681155,0.5061413043478261,0.9951996572667493,0.9944518933180835,0.0,0.0,19.2025,138.0,624.0,9372.85,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.1,0.5,holdout,system,0.6889801025390625,0.931365966796875,0.11299999999999999,0.44133333333333336,0.585,0.0275,0.3875,0.0,0.6375,0.0275,0.335,0.0,0.1069927536231884,0.04956316702858692,0.17567844202898544,0.9125,0.9225,0.45518115942028986,0.5621739130434783,0.9955920282147698,0.9941081491665283,0.0,0.0,11.3175,69.0,312.0,4655.085,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.1,0.5,holdout,dataset,0.7539825439453125,1.171600341796875,0.13398874329142874,0.4079562627398352,0.4875,0.12,0.3925,0.0,0.67,0.12,0.21,0.0,0.11772727272727274,0.08317978186311445,0.2274886363636363,0.8325,0.75,0.4519040404040405,0.5696313131313131,0.9960956191493259,0.9934696081114857,0.0,0.0,12.405,69.0,312.0,4655.085,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.1,0.6,cv5,system,0.6889801025390625,0.931365966796875,0.11299999999999999,0.44133333333333336,0.6,0.0175,0.3825,0.0,0.8675,0.0175,0.115,0.0,0.10724637681159421,0.03630264420841693,0.1274741847826087,0.92,0.905,0.44800724637681155,0.5552536231884058,0.9951996572667493,0.9944855202588743,0.0,0.0,22.61,138.0,624.0,9372.85,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.05,0.6,cv5,dataset,0.7539825439453125,0.721343994140625,0.09429813226883121,0.4079562627398352,0.295,0.28,0.425,0.0,0.52,0.28,0.2,0.0,0.07558858858858858,0.05904274570983981,0.17669761466011458,0.8625,0.765,0.4375335790335791,0.5131221676221677,0.995267033731792,0.9941530950914885,0.0,0.0,20.695,138.0,624.0,9372.85,624,138
G_RAMv466+FishGlob+GPDD,0.45,400,400,0.15,0.5,holdout,system,0.6889801025390625,1.360382080078125,0.15800000000000003,0.44133333333333336,0.8625,0.0025,0.135,0.0,0.8775,0.0025,0.12,0.0,0.15547101449275363,0.05336234362129075,0.18823731884057968,0.9175,0.9175,0.45518115942028986,0.6106521739130435,0.9955920282147698,0.9935382775562078,0.0,0.0,13.7075,69.0,312.0,4655.085,624,138
