scenario,S_B,n_boot,n_reps,delta_true,dev_frac,design,weighting,mu_B,delta_cal,p_meaningful,p_negligible,p_inconclusive,p_harm,mean_d_hat,sd_d_hat,mean_ci_width,cover95,mean_sensB,mean_sensE,mean_faB_eval,mean_faE_eval,p_faE_gt_1.5,n_events_eval,n_systems_eval,n_negyears_eval,n_systems_total,n_events_total
A_accessible_now,0.45,400,500,0.1,0.6,cv5,system,0.7987060546875,0.976318359375,0.604,0.02,0.376,0.0,0.10815730337078651,0.0416270149843292,0.15623438808400142,0.944,0.45608988764044944,0.5642471910112359,0.995489285527307,0.9966659794061451,0.0,89.0,421.0,4228.138,421,89
A_accessible_now,0.45,400,500,0.2,0.5,holdout,system,0.7987060546875,1.910888671875,0.904,0.0,0.096,0.0,0.20493333333333333,0.06436583324154976,0.2506731202246239,0.946,0.4585333333333333,0.6634666666666665,0.9932360131391123,0.9960212763525216,0.0,45.0,211.0,2115.616,421,89
A_accessible_now,0.45,400,500,0.2,0.7,holdout,system,0.7987060546875,1.910888671875,0.66,0.002,0.338,0.0,0.20369230769230767,0.08304225963834734,0.32749431430651565,0.95,0.4594615384615385,0.6631538461538461,0.9978427612599837,0.9896006585066663,0.002,26.0,126.0,1268.044,421,89
A_accessible_now,0.45,400,500,0.15,0.6,cv5,system,0.7987060546875,1.351318359375,0.896,0.008,0.096,0.0,0.15080898876404494,0.04451382308966655,0.1668238539001412,0.95,0.45608988764044944,0.6068988764044944,0.995489285527307,0.9969540965607758,0.0,89.0,421.0,4228.138,421,89
A_accessible_now,0.45,400,500,0.0,0.6,holdout,dataset,0.7987060546875,0.073974609375,0.01,0.586,0.374,0.03,-0.010637254901960786,0.08983286543842128,0.22130135451625807,0.95,0.4529240196078432,0.44228676470588235,1.0061386832916783,1.0028480182215396,0.004,35.0,168.0,1684.562,421,89
A_accessible_now,0.45,400,500,0.1,0.6,holdout,dataset,0.7987060546875,0.976318359375,0.278,0.098,0.624,0.0,0.0959264705882353,0.09977399623372532,0.2568785632508714,0.892,0.4529240196078432,0.5488504901960785,1.0061386832916783,1.0038342764995756,0.004,35.0,168.0,1684.562,421,89
A_accessible_now,0.45,400,500,0.2,0.6,cv5,system,0.7987060546875,1.910888671875,0.99,0.0,0.01,0.0,0.2081123595505618,0.048010582598267904,0.18072193714543958,0.932,0.45608988764044944,0.6642022471910113,0.995489285527307,0.9967268007519758,0.0,89.0,421.0,4228.138,421,89
B_fisheries_proxy_only,0.45,400,500,0.0,0.5,holdout,system,0.6265869140625,0.202880859375,0.024,0.206,0.76,0.01,0.021047619047619048,0.07968527197066158,0.28968947225623815,0.966,0.44371428571428567,0.4647619047619047,1.008121318672137,1.0077564264839771,0.008,21.0,84.0,1440.482,170,43
B_fisheries_proxy_only,0.45,400,500,0.0,0.7,holdout,system,0.6265869140625,0.202880859375,0.008,0.364,0.626,0.002,0.02369230769230769,0.09583764874481458,0.31477257410159487,0.99,0.4436923076923077,0.4673846153846154,1.0202151061785012,1.0142519003143788,0.014,13.0,51.0,871.772,170,43
A_accessible_now,0.45,400,500,0.2,0.6,holdout,dataset,0.7987060546875,1.910888671875,0.784,0.008,0.208,0.0,0.19838725490196077,0.11680298078209582,0.3194182096212878,0.888,0.4529240196078432,0.651311274509804,1.0061386832916783,1.003298550179373,0.004,35.0,168.0,1684.562,421,89
B_fisheries_proxy_only,0.45,400,500,0.05,0.5,holdout,system,0.6265869140625,0.577880859375,0.09,0.084,0.822,0.004,0.0678095238095238,0.08179012254699028,0.30263279890868566,0.886,0.44371428571428567,0.5115238095238095,1.008121318672137,1.0072383084585033,0.008,21.0,84.0,1440.482,170,43
B_fisheries_proxy_only,0.45,400,500,0.05,0.7,holdout,system,0.6265869140625,0.577880859375,0.026,0.248,0.726,0.0,0.06923076923076922,0.10010015025043828,0.3323703181586159,0.726,0.4436923076923077,0.512923076923077,1.0202151061785012,1.0142279770219902,0.014,13.0,51.0,871.772,170,43
B_fisheries_proxy_only,0.45,400,500,0.1,0.5,holdout,system,0.6265869140625,0.952880859375,0.196,0.042,0.762,0.0,0.11009523809523811,0.08792744573828187,0.32076541922249313,0.926,0.44371428571428567,0.5538095238095238,1.008121318672137,1.0076717285322012,0.006,21.0,84.0,1440.482,170,43
B_fisheries_proxy_only,0.45,400,500,0.0,0.6,cv5,system,0.6265869140625,0.202880859375,0.032,0.338,0.612,0.018,0.017069767441860464,0.05861179310390847,0.21053760858153261,0.93,0.4436744186046511,0.4607441860465116,0.998148885638534,0.9979012875278954,0.0,43.0,170.0,2912.226,170,43
B_fisheries_proxy_only,0.45,400,500,0.1,0.7,holdout,system,0.6265869140625,0.952880859375,0.06,0.158,0.782,0.0,0.114,0.10718449278008227,0.3688951133258239,0.824,0.4436923076923077,0.5576923076923078,1.0202151061785012,1.0141854370829742,0.012,13.0,51.0,871.772,170,43
B_fisheries_proxy_only,0.45,400,500,0.05,0.6,cv5,system,0.6265869140625,0.577880859375,0.144,0.14,0.714,0.002,0.06330232558139534,0.061028187628434594,0.2178968496293412,0.902,0.4436744186046511,0.5069767441860464,0.998148885638534,0.9978540913684693,0.0,43.0,170.0,2912.226,170,43
B_fisheries_proxy_only,0.45,400,500,0.15,0.5,holdout,system,0.6265869140625,1.351318359375,0.362,0.012,0.626,0.0,0.15809523809523807,0.09601742404855641,0.3459756533477869,0.918,0.44371428571428567,0.6018095238095239,1.008121318672137,1.0075262402733023,0.008,21.0,84.0,1440.482,170,43
B_fisheries_proxy_only,0.45,400,500,0.15,0.7,holdout,system,0.6265869140625,1.351318359375,0.166,0.088,0.746,0.0,0.16230769230769226,0.1182371814111503,0.408601744808806,0.894,0.4436923076923077,0.606,1.0202151061785012,1.0148525835699909,0.012,13.0,51.0,871.772,170,43
B_fisheries_proxy_only,0.45,400,500,0.1,0.6,cv5,system,0.6265869140625,0.952880859375,0.398,0.046,0.556,0.0,0.10920930232558139,0.06417430642234327,0.23159906708867356,0.914,0.4436744186046511,0.5528837209302326,0.998148885638534,0.9982542212200769,0.0,43.0,170.0,2912.226,170,43
B_fisheries_proxy_only,0.45,400,500,0.2,0.5,holdout,system,0.6265869140625,1.726318359375,0.52,0.006,0.474,0.0,0.20104761904761903,0.10321490057980089,0.37020046578599874,0.918,0.44371428571428567,0.6447619047619049,1.008121318672137,1.007472642444854,0.008,21.0,84.0,1440.482,170,43
B_fisheries_proxy_only,0.45,400,500,0.2,0.7,holdout,system,0.6265869140625,1.726318359375,0.288,0.054,0.658,0.0,0.20399999999999996,0.1262166954401197,0.4458115393458394,0.93,0.4436923076923077,0.6476923076923078,1.0202151061785012,1.0146211294761323,0.012,13.0,51.0,871.772,170,43
B_fisheries_proxy_only,0.45,400,500,0.15,0.6,cv5,system,0.6265869140625,1.351318359375,0.658,0.01,0.332,0.0,0.1570232558139535,0.06818233188408639,0.2485235436154771,0.91,0.4436744186046511,0.6006976744186047,0.998148885638534,0.9976068194403508,0.0,43.0,170.0,2912.226,170,43
C_RAMfull_x3_only,0.45,400,500,0.0,0.5,holdout,system,0.6265869140625,0.202880859375,0.05,0.446,0.494,0.01,0.016769230769230765,0.049649015337710586,0.17497684112093767,0.924,0.43956923076923077,0.4563384615384616,0.9902730967715936,0.9901302732833216,0.0,65.0,256.0,4390.8,510,129
