scenario,S_B,delta_true,dev_frac,design,weighting,n_boot,n_reps,mu_B,delta_cal,delta_realized,sB_realized,p_meaningful,p_negligible,p_inconclusive,p_harm,mean_d_hat,sd_d_hat,mean_ci_width,cover95_nominal,cover95,mean_sensB,mean_sensE,mean_faB_eval,mean_faE_eval,p_faE_gt_1.5,p_degenerate_ci,mean_n_disc,n_events_eval,n_systems_eval,n_negyears_eval,n_systems_total,n_events_total
D_scaled_x1.5,0.45,0.1,0.5,holdout,system,400,400,0.6312103271484375,0.824798583984375,0.10411784399062601,0.42551054569802477,0.5225,0.0375,0.44,0.0,0.09976694915254238,0.03563854674508508,0.13461175847457624,0.9225,0.9275,0.4296186440677966,0.529385593220339,0.9955088475132914,0.9937127855192752,0.0,0.0,18.6625,118.0,509.0,7235.2125,1016,235
D_scaled_x1.5,0.45,0.0,0.6,cv5,system,400,400,0.6312103271484375,0.039276123046875,0.009039169735520602,0.42551054569802477,0.0,0.9325,0.0175,0.05,-0.0019361702127659564,0.026530183149456054,0.09042127659574466,0.9125,0.87,0.43415957446808506,0.4322234042553192,0.9943764795675071,0.9940826007624424,0.0,0.0,30.435,235.0,1016.0,14449.86,1016,235
D_scaled_x1.5,0.45,0.15,0.5,holdout,system,400,400,0.6312103271484375,1.310760498046875,0.16303983930364913,0.42551054569802477,0.9375,0.0,0.0625,0.0,0.15887711864406778,0.03898456875238835,0.14709057203389828,0.93,0.9275,0.4296186440677966,0.5884957627118644,0.9955088475132914,0.9936294959679997,0.0,0.0,23.6475,118.0,509.0,7235.2125,1016,235
D_scaled_x1.5,0.45,0.05,0.6,cv5,system,400,400,0.6312103271484375,0.363372802734375,0.0605959156344158,0.42551054569802477,0.005,0.7125,0.2825,0.0,0.03884042553191489,0.02625446040681095,0.09118749999999999,0.9025,0.78,0.43415957446808506,0.473,0.9943764795675071,0.9940382169481528,0.0,0.0,31.6825,235.0,1016.0,14449.86,1016,235
D_scaled_x1.5,0.45,0.1,0.6,cv5,system,400,400,0.6312103271484375,0.824798583984375,0.10411784399062601,0.42551054569802477,0.42,0.0625,0.5175,0.0,0.09530851063829786,0.026248669041077085,0.09641622340425532,0.925,0.8975,0.43415957446808506,0.529468085106383,0.9943764795675071,0.9943491128734147,0.0,0.0,37.0625,235.0,1016.0,14449.86,1016,235
D_scaled_x2.0,0.45,0.0,0.5,holdout,system,400,400,0.7036285400390625,0.044952392578125,-0.010333333333333361,0.4726666666666667,0.0,0.8975,0.08,0.0225,0.0005769230769230787,0.0288301014250522,0.11030088141025639,0.9625,0.91,0.4591826923076923,0.4597596153846154,0.9912602494729282,0.9882621138949539,0.0,0.0,20.415,156.0,677.0,9653.085,1354,312
D_scaled_x2.0,0.45,0.05,0.5,holdout,system,400,400,0.7036285400390625,0.477996826171875,0.050999999999999934,0.4726666666666667,0.0675,0.37,0.5625,0.0,0.05342948717948717,0.02997605033024948,0.11269310897435895,0.925,0.925,0.4591826923076923,0.5126121794871794,0.9912602494729282,0.9886065193790404,0.0,0.0,21.835,156.0,677.0,9653.085,1354,312
D_scaled_x1.5,0.45,0.15,0.6,cv5,system,400,400,0.6312103271484375,1.310760498046875,0.16303983930364913,0.42551054569802477,0.98,0.0,0.02,0.0,0.1544255319148936,0.028739928215809056,0.10414468085106378,0.92,0.9125,0.43415957446808506,0.5885851063829787,0.9943764795675071,0.994289715886419,0.0,0.0,46.67,235.0,1016.0,14449.86,1016,235
D_scaled_x2.0,0.45,0.1,0.5,holdout,system,400,400,0.7036285400390625,0.946563720703125,0.10933333333333328,0.4726666666666667,0.6225,0.0125,0.365,0.0,0.11116987179487178,0.03146608874244353,0.12058333333333332,0.9225,0.93,0.4591826923076923,0.5703525641025641,0.9912602494729282,0.9885576771732189,0.0,0.0,26.2425,156.0,677.0,9653.085,1354,312
D_scaled_x2.0,0.45,0.0,0.6,cv5,system,400,400,0.7036285400390625,0.044952392578125,-0.010333333333333361,0.4726666666666667,0.0,0.9675,0.0025,0.03,-0.0008413461538461519,0.02043006372557552,0.07839202724358973,0.9575,0.8975,0.46289262820512816,0.46205128205128204,0.9943728860231517,0.9943727064488427,0.0,0.0,40.4975,312.0,1354.0,19320.94,1354,312
D_scaled_x2.0,0.45,0.15,0.5,holdout,system,400,400,0.7036285400390625,1.347747802734375,0.15300000000000002,0.4726666666666667,0.9575,0.0,0.0425,0.0,0.1590224358974359,0.03431258465104967,0.12873918269230766,0.9225,0.9225,0.4591826923076923,0.6182051282051283,0.9912602494729282,0.9885658740445713,0.0,0.0,31.7375,156.0,677.0,9653.085,1354,312
D_scaled_x2.0,0.45,0.05,0.6,cv5,system,400,400,0.7036285400390625,0.477996826171875,0.050999999999999934,0.4726666666666667,0.0175,0.6275,0.355,0.0,0.0542147435897436,0.020718927267429074,0.08044731570512818,0.9325,0.9325,0.46289262820512816,0.5171073717948719,0.9943728860231517,0.9942655227093815,0.0,0.0,43.52,312.0,1354.0,19320.94,1354,312
D_scaled_x3.0,0.45,0.0,0.5,holdout,system,400,400,0.7036285400390625,0.044952392578125,-0.010333333333333361,0.4726666666666667,0.0,0.9475,0.015,0.0375,-0.0002575107296137322,0.025186037610730436,0.09157430257510728,0.9375,0.895,0.46091201716738195,0.46065450643776823,0.9915773787710424,0.9937602046857432,0.0,0.0,30.74,233.0,1014.0,14476.29,2031,468
D_scaled_x2.0,0.45,0.1,0.6,cv5,system,400,400,0.7036285400390625,0.946563720703125,0.10933333333333328,0.4726666666666667,0.7,0.0075,0.2925,0.0,0.11155448717948718,0.021661584665513597,0.08565184294871794,0.9125,0.9425,0.46289262820512816,0.5744471153846153,0.9943728860231517,0.9945478363708614,0.0,0.0,52.345,312.0,1354.0,19320.94,1354,312
D_scaled_x3.0,0.45,0.05,0.5,holdout,system,400,400,0.7036285400390625,0.477996826171875,0.050999999999999934,0.4726666666666667,0.0225,0.4975,0.48,0.0,0.05469957081545065,0.024325825965868502,0.09329613733905578,0.9375,0.9375,0.46091201716738195,0.5156115879828326,0.9915773787710424,0.9942247469745675,0.0,0.0,32.755,233.0,1014.0,14476.29,2031,468
D_scaled_x2.0,0.45,0.15,0.6,cv5,system,400,400,0.7036285400390625,1.347747802734375,0.15300000000000002,0.4726666666666667,0.9975,0.0,0.0025,0.0,0.1583653846153846,0.02355101503555558,0.09163822115384614,0.93,0.9425,0.46289262820512816,0.6212580128205129,0.9943728860231517,0.994448842473316,0.0,0.0,62.845,312.0,1354.0,19320.94,1354,312
D_scaled_x3.0,0.45,0.1,0.5,holdout,system,400,400,0.7036285400390625,0.946563720703125,0.10933333333333328,0.4726666666666667,0.67,0.0125,0.3175,0.0,0.11182403433476396,0.025042869810967972,0.09958395922746778,0.9175,0.9525,0.46091201716738195,0.5727360515021459,0.9915773787710424,0.9942773928513017,0.0,0.0,39.29,233.0,1014.0,14476.29,2031,468
D_scaled_x3.0,0.45,0.0,0.6,cv5,system,400,400,0.7036285400390625,0.044952392578125,-0.010333333333333361,0.4726666666666667,0.0,0.955,0.0,0.045,-0.0004967948717948717,0.017553540616613,0.0643116987179487,0.9275,0.8825,0.46103632478632484,0.46053952991452995,0.9942713593294141,0.993840638335676,0.0,0.0,60.6075,468.0,2031.0,29024.4525,2031,468
D_scaled_x3.0,0.45,0.15,0.5,holdout,system,400,400,0.7036285400390625,1.347747802734375,0.15300000000000002,0.4726666666666667,0.9825,0.0,0.0175,0.0,0.15863733905579397,0.02709331636169437,0.10652575107296137,0.93,0.9475,0.46091201716738195,0.619549356223176,0.9915773787710424,0.9944057278770393,0.0,0.0,47.1675,233.0,1014.0,14476.29,2031,468
D_scaled_x3.0,0.45,0.05,0.6,cv5,system,400,400,0.7036285400390625,0.477996826171875,0.050999999999999934,0.4726666666666667,0.0025,0.765,0.2325,0.0,0.05369123931623932,0.017512789644858327,0.06569898504273503,0.94,0.94,0.46103632478632484,0.514727564102564,0.9942713593294141,0.9942867553426382,0.0,0.0,65.0525,468.0,2031.0,29024.4525,2031,468
D_scaled_x4.0,0.45,0.0,0.5,holdout,system,400,400,0.7036285400390625,0.044952392578125,-0.010333333333333361,0.4726666666666667,0.0,0.975,0.0025,0.0225,0.00037660256410256194,0.020751439132597433,0.07885136217948716,0.9425,0.915,0.4623477564102563,0.462724358974359,0.996862096417617,0.9952848086315594,0.0,0.0,41.0275,312.0,1354.0,19303.9625,2708,624
D_scaled_x3.0,0.45,0.1,0.6,cv5,system,400,400,0.7036285400390625,0.946563720703125,0.10933333333333328,0.4726666666666667,0.7225,0.0075,0.27,0.0,0.11003739316239317,0.018648033094813412,0.06996314102564101,0.89,0.94,0.46103632478632484,0.5710737179487179,0.9942713593294141,0.9941940207394921,0.0,0.0,77.9325,468.0,2031.0,29024.4525,2031,468
D_scaled_x4.0,0.45,0.05,0.5,holdout,system,400,400,0.7036285400390625,0.477996826171875,0.050999999999999934,0.4726666666666667,0.0125,0.625,0.3625,0.0,0.05315705128205129,0.020868746873164555,0.08058733974358973,0.9375,0.9375,0.4623477564102563,0.5155048076923078,0.996862096417617,0.9952260418383766,0.0,0.0,43.7,312.0,1354.0,19303.9625,2708,624
D_scaled_x3.0,0.45,0.15,0.6,cv5,system,400,400,0.7036285400390625,1.347747802734375,0.15300000000000002,0.4726666666666667,0.9975,0.0,0.0025,0.0,0.1567628205128205,0.019470179781824658,0.0745901442307692,0.935,0.94,0.46103632478632484,0.6177991452991453,0.9942713593294141,0.9942168766248614,0.0,0.0,93.82,468.0,2031.0,29024.4525,2031,468
D_scaled_x4.0,0.45,0.1,0.5,holdout,system,400,400,0.7036285400390625,0.946563720703125,0.10933333333333328,0.4726666666666667,0.6425,0.0075,0.35,0.0,0.1094471153846154,0.021884783314932883,0.08640685096153845,0.9375,0.95,0.4623477564102563,0.5717948717948719,0.996862096417617,0.9951839714389883,0.0,0.0,52.3775,312.0,1354.0,19303.9625,2708,624
D_scaled_x4.0,0.45,0.0,0.6,cv5,system,400,400,0.7036285400390625,0.044952392578125,-0.010333333333333361,0.4726666666666667,0.0,0.97,0.0,0.03,-0.0009375000000000002,0.01542415799170512,0.056065204326923065,0.94,0.855,0.4598758012820513,0.45893830128205126,0.994176166016507,0.9937968031737534,0.0,0.0,82.135,624.0,2708.0,38718.705,2708,624
D_scaled_x4.0,0.45,0.15,0.5,holdout,system,400,400,0.7036285400390625,1.347747802734375,0.15300000000000002,0.4726666666666667,0.995,0.0,0.005,0.0,0.15515224358974358,0.023495094576989162,0.0914601362179487,0.95,0.9425,0.4623477564102563,0.6175,0.996862096417617,0.9951474448850013,0.0,0.0,62.4975,312.0,1354.0,19303.9625,2708,624
D_scaled_x4.0,0.45,0.05,0.6,cv5,system,400,400,0.7036285400390625,0.477996826171875,0.050999999999999934,0.4726666666666667,0.0,0.885,0.115,0.0,0.05235977564102564,0.01616403227703806,0.05718669871794871,0.925,0.925,0.4598758012820513,0.512235576923077,0.994176166016507,0.9939165992513955,0.0,0.0,87.3425,624.0,2708.0,38718.705,2708,624
D_scaled_x4.0,0.45,0.1,0.6,cv5,system,400,400,0.7036285400390625,0.946563720703125,0.10933333333333328,0.4726666666666667,0.7,0.0125,0.2875,0.0,0.10885016025641026,0.01710893374220411,0.06093149038461537,0.9,0.93,0.4598758012820513,0.5687259615384616,0.994176166016507,0.9939345735970043,0.0,0.0,104.3075,624.0,2708.0,38718.705,2708,624
D_scaled_x4.0,0.45,0.15,0.6,cv5,system,400,400,0.7036285400390625,1.347747802734375,0.15300000000000002,0.4726666666666667,1.0,0.0,0.0,0.0,0.15559695512820515,0.017808855501542785,0.06493129006410255,0.9325,0.9325,0.4598758012820513,0.6154727564102564,0.994176166016507,0.9938149845076311,0.0,0.0,125.1275,624.0,2708.0,38718.705,2708,624
