scenario,design,dev_frac,weighting,n_systems_total,n_events_total,n_events_eval,realized_at_nominal0,power_at_realized_0.10,power_at_realized_0.15,P_negl_at_realized_0,P_negl_at_realized_0.05,false_meaningful_at_0,ci_width_at_0.10,cover95_mean,faE_eval_mean,gate_pass,rule
Gns_RAMv466ns+FishGlob+GPDD,cv5,0.6,dataset,516,119,119.0,-0.0,0.35291498174605984,0.6455092329187725,0.7014438957438466,0.5035080539188499,0.013067905118874977,0.18443608201126602,0.794,0.995,False,section10
Gns_RAMv466ns+FishGlob+GPDD,holdout,0.5,dataset,516,119,60.0,-0.0,0.4889601659479236,0.7748260407495529,0.5389638222392457,0.34476261893924903,0.033336912806763125,0.21729683658842355,0.827,1.002,False,alternative_B
Gns_RAMv466ns+FishGlob+GPDD,holdout,0.5,dataset,516,119,60.0,-0.0,0.31481361433815247,0.599186544145349,0.5389638222392457,0.34476261893924903,0.012938382898780685,0.21729683658842355,0.827,1.002,False,section10
Gns_RAMv466ns+FishGlob+GPDD,cv5,0.6,system,516,119,119.0,-0.021,0.8369934640522874,,0.6571818181818185,0.26126373626373645,0.10759090909090893,0.13467180891964625,0.924,0.995,False,alternative_B
Gns_RAMv466ns+FishGlob+GPDD,cv5,0.6,system,516,119,119.0,-0.021,0.5732843137254897,,0.6571818181818185,0.26126373626373645,0.02481818181818178,0.13467180891964625,0.924,0.995,False,section10
Gns_RAMv466ns+FishGlob+GPDD,holdout,0.5,system,516,119,60.0,-0.021,0.5559967320261435,,0.39750000000000013,0.17870879120879132,0.08190909090909083,0.18988319035947707,0.913,1.002,False,alternative_B
Gns_RAMv466ns+FishGlob+GPDD,holdout,0.5,system,516,119,60.0,-0.021,0.4980882352941174,,0.39750000000000013,0.17870879120879132,0.06618181818181809,0.18988319035947707,0.913,1.002,False,section10
H_G+LPD_projection,cv5,0.6,dataset,1024,170,170.0,-0.01,0.8843492592394158,,0.6261360634167494,0.29248105578821454,0.14432802005586076,0.16820399044918707,0.866,0.994,False,alternative_B
H_G+LPD_projection,cv5,0.6,dataset,1024,170,170.0,-0.01,0.676923761268807,,0.6261360634167494,0.29248105578821454,0.05434217697315068,0.16820399044918707,0.866,0.994,False,section10
H_G+LPD_projection,holdout,0.5,dataset,1024,170,85.0,-0.01,0.7697852839135761,,0.580238150232003,0.3055596551884538,0.11151326545972601,0.18933073261023795,0.878,0.993,False,alternative_B
H_G+LPD_projection,holdout,0.5,dataset,1024,170,85.0,-0.01,0.5140249876093425,,0.580238150232003,0.3055596551884538,0.0450605075209478,0.18933073261023795,0.878,0.993,False,section10
H_G+LPD_projection,cv5,0.6,system,1024,170,170.0,-0.008,0.9171458333333332,,0.8915839694656492,0.4758235294117653,0.0683396946564882,0.11290841605392156,0.939,0.994,True,alternative_B
H_G+LPD_projection,cv5,0.6,system,1024,170,170.0,-0.008,0.5394374999999998,,0.8915839694656492,0.4758235294117653,0.0018320610687022783,0.11290841605392156,0.939,0.994,False,section10
H_G+LPD_projection,holdout,0.5,system,1024,170,85.0,-0.008,0.6768541666666664,,0.6824618320610691,0.30460294117647096,0.03561068702290063,0.15835569240196073,0.928,0.993,False,alternative_B
H_G+LPD_projection,holdout,0.5,system,1024,170,85.0,-0.008,0.48660416666666645,,0.6824618320610691,0.30460294117647096,0.01007633587786253,0.15835569240196073,0.928,0.993,False,section10
